project-key,project-name,repo,url,last-commit-date,repo-size-in-bytes,attachments-size-in-bytes,is-archived,pr-count,github_org, github_repo, gh_repo_visibility
BBSMIG,bbs-migration-demo,calotracker,http://20.84.89.88:7990/projects/BBSMIG/repos/calotracker,2025-09-07 08:15 PM,3141632,0,False,0,test-19-yash,calotracker,private
BBSMIG,bbs-migration-demo,lab8,http://20.84.89.88:7990/projects/BBSMIG/repos/lab8,,217088,0,False,0,test-19-yash,lab8,private
BBSMIG,bbs-migration-demo,MavenHelloWorld,http://20.84.89.88:7990/projects/BBSMIG/repos/mavenhelloworld,2025-12-08 10:16 AM,27648,0,False,0,test-19-yash,mavenhelloworld,private
